experience,education,skill,interview,gender,age_group,race,hire
10,0,84.45,82.5,0,1,0,1
6,2,66.74,92.97,0,1,0,0
9,0,70.36,65.75,0,0,1,1
4,2,87.71,72.18,0,1,0,0
1,0,68.59,70.69,0,1,1,0
6,2,57.01,100.0,1,1,0,1
8,0,79.77,73.4,1,0,0,1
6,2,71.68,64.45,0,1,0,1
2,0,58.08,87.23,0,1,0,1
3,1,68.73,74.45,0,0,0,1
5,0,85.57,74.5,1,0,0,1
3,0,55.57,63.79,1,1,0,0
3,1,56.96,77.26,1,0,1,1
5,1,79.5,88.65,1,1,0,0
6,2,81.72,85.8,0,1,0,0
5,1,87.07,71.66,1,1,0,1
3,2,72.47,62.64,0,0,0,1
5,1,87.11,29.19,0,0,1,0
3,2,76.16,63.89,1,1,0,0
3,2,81.29,71.79,0,0,1,1
6,0,88.24,76.94,1,0,1,1
5,2,78.33,72.42,0,0,0,1
6,2,92.45,100.0,1,1,0,1
2,0,57.86,77.47,0,0,0,1
4,1,75.28,60.2,0,1,0,1
7,0,59.55,79.78,1,0,0,1
6,2,76.96,80.09,1,0,0,1
5,0,59.42,59.29,1,0,0,1
4,0,80.21,79.51,1,0,0,1
3,1,88.39,84.04,1,1,0,0
3,1,67.45,85.78,1,0,0,1
7,2,76.27,53.95,0,0,0,0
7,2,70.86,81.95,0,0,1,1
6,1,79.65,92.85,0,0,0,1
6,0,65.98,95.85,1,0,0,1
7,1,73.51,59.99,0,0,0,0
8,1,97.3,77.71,1,0,0,1
6,1,74.04,74.22,0,1,1,1
3,0,71.87,82.48,1,0,0,0
7,1,79.53,73.93,0,0,1,0
5,0,56.45,62.7,0,1,0,1
5,1,56.55,73.92,1,1,1,0
7,1,83.88,72.73,0,1,0,1
4,2,95.04,85.75,0,0,1,1
9,1,86.15,67.52,0,1,1,1
4,0,74.24,62.58,0,1,0,1
5,2,70.95,89.98,0,1,1,1
2,1,79.15,100.0,1,1,0,1
6,0,82.03,98.27,0,0,0,1
3,1,64.04,71.94,1,1,0,1
6,0,77.45,88.15,0,1,1,1
2,2,56.34,63.03,1,0,0,1
3,1,78.24,81.75,1,0,0,1
5,1,69.28,66.85,0,1,0,1
3,0,53.73,85.82,0,0,1,0
4,0,72.03,87.89,0,0,0,1
5,2,62.28,97.37,1,1,0,1
6,2,85.42,74.33,1,1,0,1
3,0,54.68,89.88,1,1,0,0
3,0,52.54,76.59,0,1,0,1
4,0,68.6,74.62,0,1,0,1
5,1,73.27,78.7,0,0,0,1
4,1,87.57,97.89,0,0,1,0
2,1,56.15,69.65,0,1,0,1
6,1,90.75,77.18,0,1,0,1
6,2,70.62,49.34,1,1,0,1
8,1,90.19,76.27,0,0,0,1
1,0,73.06,77.78,1,1,0,1
6,1,80.21,66.9,0,0,0,0
2,2,66.09,61.12,1,1,1,1
5,1,59.77,49.74,1,0,0,0
2,1,49.48,62.88,1,1,0,1
6,1,95.52,96.16,1,0,0,1
4,2,75.03,57.22,1,0,0,1
3,1,59.95,81.46,1,1,0,1
5,0,58.57,82.27,0,1,1,1
6,2,83.68,100.0,1,1,0,1
3,2,72.05,86.87,1,0,0,1
4,0,48.81,81.22,1,1,1,0
8,1,89.65,82.34,0,0,0,1
4,1,76.35,75.28,0,0,0,0
10,0,98.4,89.91,1,0,0,1
4,2,89.41,92.87,1,0,0,1
5,1,44.02,70.85,0,0,0,1
10,2,100.0,95.5,0,1,0,1
3,0,78.07,100.0,0,0,0,1
4,1,65.64,73.98,0,0,1,0
7,0,69.67,75.12,0,0,1,0
5,1,79.12,74.72,0,0,0,1
10,1,74.86,76.58,1,0,1,0
4,1,70.57,88.79,0,0,0,1
2,0,74.0,75.84,0,0,1,0
3,0,71.18,76.51,1,1,0,1
5,0,63.33,69.67,1,0,0,0
8,0,86.23,83.11,1,0,0,1
4,1,76.03,69.17,0,1,0,0
3,1,73.69,60.02,1,0,0,0
8,1,75.85,80.54,0,1,0,1
6,1,76.93,99.14,1,0,0,1
8,0,68.26,70.17,1,1,0,0
3,0,46.59,56.82,0,1,0,0
3,0,63.2,95.63,0,0,1,1
5,2,78.78,76.3,0,1,0,1
11,1,88.37,89.01,1,1,0,0
7,0,86.12,68.48,0,0,0,1
4,0,61.48,72.41,1,0,1,1
3,2,72.32,91.27,0,0,0,0
8,1,88.66,79.3,0,1,1,1
8,1,73.47,76.41,1,0,0,1
3,1,72.54,56.64,1,0,0,1
3,0,61.92,81.83,1,1,0,0
6,2,79.56,66.48,0,1,0,1
2,1,76.58,88.75,0,0,0,1
7,0,70.27,76.48,0,1,0,0
5,2,87.91,81.08,0,0,0,1
5,1,55.48,80.37,0,1,0,0
6,0,57.7,76.04,1,0,0,1
1,1,43.82,89.39,0,0,0,0
10,0,68.34,92.39,0,0,0,1
2,0,82.57,61.91,0,0,0,0
5,1,74.82,72.92,1,1,0,1
4,0,60.79,82.2,1,0,1,1
5,2,87.83,66.25,0,0,0,0
4,2,87.24,58.63,0,0,0,1
5,0,57.79,62.44,0,0,1,0
6,1,100.0,78.62,1,0,0,1
1,2,74.76,26.18,1,0,0,1
3,1,75.02,61.64,1,0,0,0
2,1,73.97,53.45,0,1,0,1
5,0,74.95,88.75,0,1,0,0
4,1,66.79,84.53,1,0,0,1
7,1,100.0,83.34,1,0,0,1
7,2,81.15,77.43,1,0,0,1
2,0,73.58,81.25,1,0,0,1
6,2,77.25,63.47,0,0,1,1
7,0,67.48,88.53,1,1,0,0
2,2,93.02,79.72,1,1,0,1
7,1,77.92,86.59,1,1,0,1
5,1,74.66,85.45,0,0,0,0
7,1,81.84,82.78,0,1,0,0
6,0,98.02,83.36,0,1,0,1
5,0,91.69,81.2,0,0,0,1
6,0,84.84,76.21,0,0,0,1
5,0,98.54,85.5,1,0,0,1
4,0,58.55,74.19,0,0,0,1
7,1,85.56,71.27,0,0,0,0
1,1,67.76,80.87,0,1,0,1
8,0,58.31,75.03,0,0,0,1
4,2,82.63,91.04,1,0,0,0
5,1,70.09,52.29,0,1,0,0
3,2,91.34,78.7,0,0,0,0
7,1,75.05,66.31,1,1,0,1
2,0,59.48,65.68,1,0,0,1
5,1,90.33,84.78,0,0,0,0
10,1,84.35,59.64,1,0,1,1
7,0,85.63,78.72,1,1,0,1
7,0,78.24,76.01,1,1,0,1
10,0,84.38,64.28,0,1,0,0
1,0,59.56,73.81,1,0,1,1
5,1,80.02,66.87,0,0,0,1
3,1,69.69,100.0,0,1,0,1
8,0,67.96,88.02,0,1,1,1
7,1,77.96,76.4,0,0,0,1
3,1,83.88,71.59,1,1,0,1
1,0,67.36,79.52,1,1,1,1
5,0,77.68,84.75,0,1,0,1
3,0,66.01,76.26,0,0,0,0
6,0,52.62,58.34,0,1,0,1
3,0,53.79,68.24,1,1,1,1
4,0,65.11,73.96,1,0,0,1
5,1,63.65,76.21,1,0,0,0
8,1,75.76,78.91,1,0,0,0
7,0,68.39,82.45,1,1,0,1
5,0,64.7,89.04,1,0,0,1
4,1,87.37,89.63,0,0,0,1
6,2,81.47,83.38,1,0,0,0
8,1,90.35,62.98,1,0,0,1
4,1,74.64,89.16,1,1,1,1
3,0,80.16,85.86,1,0,0,1
2,0,74.21,71.77,1,0,1,0
3,2,70.08,74.37,1,0,0,1
9,0,97.62,80.31,1,0,1,0
5,2,75.45,69.84,0,1,1,1
4,1,75.0,54.02,0,0,0,1
7,1,82.77,63.16,1,1,0,0
8,0,80.88,65.3,0,1,0,1
4,1,80.96,52.58,1,1,1,1
4,1,65.43,59.73,1,0,1,0
8,0,83.12,90.32,1,0,0,1
5,0,75.81,80.99,1,0,0,1
5,2,80.0,64.35,0,0,0,1
6,1,75.1,66.76,1,1,0,1
7,1,70.92,88.93,1,1,1,0
2,0,68.8,88.21,0,1,0,1
1,1,60.4,72.92,0,0,1,1
7,1,81.38,90.37,1,0,1,1
5,1,73.99,65.61,1,1,1,1
4,1,59.66,74.66,1,1,0,0
4,1,63.67,55.04,0,1,0,0
3,1,75.05,70.64,0,0,0,1
8,0,70.76,74.49,0,0,0,1
7,2,78.42,55.46,0,0,0,0
1,1,59.36,78.99,1,1,0,1
2,0,56.7,80.46,0,0,0,1
4,1,89.43,90.02,1,1,0,1
6,2,70.8,100.0,1,1,0,1
4,0,82.73,81.55,1,1,0,0
6,0,68.69,72.97,0,0,0,1
8,1,74.46,55.67,1,0,0,0
7,0,77.84,80.27,0,1,0,1
5,1,75.53,81.82,0,0,1,1
2,0,62.03,56.13,0,1,0,0
1,1,69.2,70.96,1,0,0,0
7,0,74.37,75.01,0,1,0,0
4,0,65.84,79.52,0,0,0,1
1,2,81.36,86.55,0,0,0,0
6,1,62.53,66.07,0,1,0,1
5,0,60.85,74.59,0,0,0,1
8,0,68.12,80.51,1,1,0,1
5,1,64.42,70.7,1,0,0,1
4,1,73.86,69.71,1,1,0,0
10,2,95.05,87.56,1,0,0,1
7,2,64.37,70.74,1,0,1,1
4,1,68.26,59.29,0,0,0,1
8,1,77.78,92.03,1,0,1,1
5,1,72.14,61.39,1,1,0,1
5,1,62.15,71.3,0,0,0,1
5,0,66.87,77.23,1,1,0,1
2,0,54.89,76.44,1,1,0,1
3,0,62.66,74.57,1,0,1,0
4,0,50.8,34.86,1,1,0,1
9,0,74.72,66.51,0,0,0,1
0,1,57.81,75.12,1,0,0,0
5,1,72.38,73.17,0,1,0,1
5,1,78.01,81.74,1,0,0,0
5,0,69.55,86.17,1,0,0,1
5,0,77.93,81.67,1,1,0,0
4,1,69.39,65.13,0,0,0,1
9,0,84.19,70.38,0,0,1,1
6,1,88.25,97.23,0,1,0,1
2,2,76.74,73.2,0,0,1,1
6,0,71.79,73.21,1,0,0,0
6,0,76.14,81.35,1,0,0,1
6,1,80.09,90.86,1,0,0,1
5,2,90.01,67.19,1,0,0,1
2,1,76.94,69.43,0,1,0,0
5,2,88.06,58.36,0,1,0,0
3,0,66.44,69.73,0,0,0,1
3,2,79.41,82.69,1,1,0,1
3,0,69.23,69.47,1,0,1,0
6,0,59.93,93.1,1,0,1,1
6,2,92.69,79.93,0,1,0,1
4,2,61.31,71.03,0,1,0,1
5,0,77.12,71.2,1,1,0,0
5,0,72.67,58.22,0,1,0,0
7,0,71.16,73.15,1,1,0,1
5,0,73.91,79.08,0,1,0,1
3,0,70.19,72.62,0,1,0,0
4,2,64.92,75.76,1,1,0,1
7,1,93.16,70.58,0,1,0,1
5,1,75.72,60.21,1,0,0,0
7,1,100.0,78.73,1,1,0,1
8,1,88.9,80.43,0,1,1,1
7,1,79.49,73.87,1,0,0,1
5,1,68.1,76.06,1,0,0,1
8,0,74.89,84.3,0,0,0,1
4,1,74.5,84.17,1,0,0,1
6,1,91.65,88.62,1,0,0,1
8,2,98.27,91.72,0,0,1,0
6,2,86.51,83.27,1,1,0,1
3,1,88.69,82.01,0,0,0,1
8,1,60.84,95.48,1,0,0,1
4,0,72.63,83.93,1,0,0,1
7,1,91.56,68.17,0,0,0,0
2,0,69.47,51.54,0,1,0,1
10,0,66.67,70.44,0,1,0,1
6,0,85.89,84.68,0,0,0,1
4,1,80.61,87.63,1,1,0,1
5,0,73.43,59.68,1,1,0,1
6,2,82.88,85.33,0,0,0,1
4,0,87.94,91.2,1,1,1,1
5,2,84.45,84.19,1,1,0,0
6,1,74.58,79.9,1,0,0,0
3,0,57.89,69.98,1,1,0,0
7,0,81.58,70.8,1,0,0,0
7,1,88.86,87.2,0,1,0,1
8,1,81.57,83.31,0,0,0,0
4,1,67.42,69.56,1,0,0,1
7,0,87.3,100.0,0,1,1,1
3,1,62.13,54.31,1,0,1,0
4,2,97.69,76.75,1,1,0,1
4,0,60.65,62.87,1,1,0,1
0,1,52.22,75.05,0,0,0,1
1,0,50.5,46.71,0,0,0,1
1,1,55.9,86.41,0,0,0,1
7,1,76.63,87.39,0,1,0,1
5,0,65.32,76.27,0,1,0,1
5,0,80.25,72.33,1,0,0,0
8,0,84.82,85.56,0,0,0,1
3,1,68.76,77.7,0,0,0,0
5,1,100.0,91.42,0,0,0,0
3,2,73.63,73.26,0,0,0,1
5,1,73.96,72.62,0,0,0,1
1,0,49.23,82.78,0,0,1,1
7,2,83.19,84.24,1,0,0,0
2,1,71.97,72.31,0,1,0,1
4,1,61.16,76.65,1,0,0,0
6,0,67.01,75.62,1,0,0,1
7,0,77.27,81.06,0,0,0,0
9,2,82.75,91.78,1,1,1,1
4,1,65.66,68.93,0,0,0,0
1,0,69.82,66.23,0,0,0,1
4,1,60.18,75.32,0,1,0,1
6,2,71.12,67.79,0,1,0,1
3,0,67.77,62.62,0,1,1,0
4,1,81.46,88.21,0,0,0,1
2,2,77.06,71.96,1,1,1,0
6,0,69.76,51.54,1,1,0,0
8,1,77.95,85.76,0,0,1,0
7,1,89.1,72.56,0,1,0,1
2,1,77.59,82.45,0,1,0,1
6,0,72.5,87.5,0,1,0,1
9,0,75.22,77.32,1,1,0,0
3,1,71.35,49.84,0,0,0,0
8,0,68.73,50.18,0,0,0,0
7,1,77.5,67.43,1,0,0,1
6,0,67.1,72.74,1,0,0,1
10,0,78.99,90.2,0,0,0,0
5,2,75.46,78.59,1,1,0,1
5,1,80.24,100.0,0,0,0,0
5,2,88.18,59.74,0,1,0,1
5,0,66.2,74.7,0,0,0,1
4,1,64.88,67.63,0,0,1,0
10,0,87.12,80.24,1,0,0,1
3,1,72.85,95.59,0,1,1,1
2,1,65.33,94.85,0,1,0,0
6,0,85.76,77.8,0,0,0,1
4,2,72.35,84.81,0,0,0,0
4,0,48.07,72.2,1,0,0,0
8,1,73.92,61.88,0,0,0,1
5,2,96.18,79.41,0,0,0,1
4,2,74.82,68.9,1,1,0,1
7,2,78.85,75.02,0,1,1,1
4,0,68.27,63.43,0,0,1,1
2,0,74.11,76.68,0,0,0,0
2,0,63.17,76.3,0,1,0,1
3,1,76.91,83.83,0,0,0,1
3,1,69.11,77.54,0,0,0,1
8,0,81.99,96.01,1,0,0,1
6,1,78.8,100.0,1,0,0,1
0,0,56.02,66.35,1,1,1,0
8,0,78.58,87.36,1,1,0,1
5,1,69.57,99.29,0,1,0,1
4,1,59.22,83.8,1,0,1,0
5,2,79.8,84.57,0,0,0,1
7,0,61.11,50.36,0,0,0,1
6,1,82.97,69.9,0,1,0,0
3,0,65.63,68.18,0,1,0,1
4,0,82.23,93.09,1,1,0,1
2,1,65.7,64.37,0,1,0,1
4,2,77.8,74.54,0,0,0,1
1,0,47.3,79.54,0,1,1,1
9,0,66.96,64.08,0,0,0,1
3,1,54.21,74.19,0,1,0,1
1,0,72.77,76.34,0,1,0,1
5,2,75.4,85.61,0,0,1,1
4,1,86.27,85.16,1,1,0,1
6,0,45.19,76.57,0,1,0,1
5,1,90.48,80.51,0,0,1,0
8,1,80.32,55.95,1,0,1,1
5,0,73.4,76.36,1,0,0,0
7,1,68.37,74.34,0,0,0,1
4,0,73.27,83.85,0,1,0,1
1,1,63.26,67.58,1,0,0,1
5,0,58.06,72.11,0,1,0,0
4,2,65.92,74.06,0,1,0,1
3,0,53.75,62.2,0,1,0,1
2,0,67.8,59.72,1,0,0,1
12,2,87.64,82.12,1,0,1,1
5,0,53.6,82.81,1,1,0,1
10,0,83.69,69.24,0,1,0,1
6,0,50.27,67.44,0,1,1,1
1,0,75.29,85.01,0,0,0,1
6,2,100.0,91.12,1,0,0,1
2,1,55.88,73.95,1,0,0,0
4,0,78.52,80.68,0,1,0,1
5,1,78.49,82.08,1,0,0,1
8,1,76.0,83.73,0,0,0,1
4,2,73.47,61.84,0,0,0,1
2,0,70.54,97.12,1,0,0,1
1,1,66.6,76.61,0,1,0,1
8,1,55.06,79.77,0,1,0,1
8,1,100.0,70.86,0,1,0,1
4,1,77.33,73.24,1,0,0,1
1,0,61.48,76.82,1,0,1,1
9,1,75.82,53.51,1,0,0,1
4,1,71.11,63.41,1,0,0,1
2,2,86.69,68.63,0,1,0,0
4,0,70.62,58.78,0,0,0,1
3,1,74.75,76.22,1,0,0,1
8,2,73.51,73.81,1,0,0,1
9,1,79.5,92.99,1,1,0,1
4,2,78.51,62.25,1,0,0,0
4,2,84.97,79.81,1,0,0,0
5,0,65.84,62.61,0,1,0,0
11,1,96.28,58.65,0,1,0,0
8,0,64.56,79.96,1,0,0,1
6,1,77.7,83.59,1,1,1,1
2,0,63.02,79.23,1,1,0,0
8,1,65.84,57.37,0,0,1,0
7,1,78.52,76.71,0,0,0,0
6,1,71.17,81.4,1,0,0,1
5,0,84.14,88.25,1,1,0,1
3,2,71.9,81.92,1,1,0,0
5,0,73.51,86.28,0,0,0,1
3,0,53.69,83.55,1,0,0,0
3,0,68.37,74.93,1,0,0,1
7,2,79.85,81.95,1,1,0,1
4,2,70.24,86.04,0,1,0,0
4,1,100.0,84.68,0,0,1,1
6,2,78.47,90.08,1,0,0,1
6,0,69.88,84.47,0,1,0,1
3,2,85.02,69.41,0,0,0,0
4,0,60.32,56.39,0,0,1,0
6,0,76.03,75.44,1,0,0,1
6,0,77.1,61.25,0,1,0,1
6,1,79.45,76.89,0,0,0,0
6,1,99.96,79.9,1,1,0,0
3,0,57.96,87.2,1,1,0,1
5,2,95.38,85.14,0,0,0,1
2,1,73.72,86.48,0,1,0,0
5,0,79.09,69.94,1,0,0,1
3,1,74.41,93.24,0,0,0,0
3,1,89.78,88.68,1,0,0,1
5,2,76.8,80.49,0,1,0,1
11,1,91.97,56.72,1,1,0,1
7,1,92.05,92.56,1,1,1,0
7,0,68.41,94.96,1,0,0,1
4,1,83.0,76.74,0,0,0,1
1,2,71.81,74.74,1,0,0,1
4,0,55.65,64.93,0,0,0,0
5,2,65.48,53.52,1,0,0,1
4,1,72.09,67.67,0,1,0,1
4,0,77.91,95.49,1,1,0,1
7,2,63.21,85.59,0,0,0,1
6,1,79.0,66.53,1,0,1,1
8,0,84.92,70.04,0,0,0,1
4,0,55.22,96.67,0,1,0,1
3,0,59.66,59.69,0,1,0,0
0,2,75.72,66.56,0,0,0,0
4,1,81.49,71.14,0,1,0,0
1,2,88.04,61.31,0,1,0,1
4,0,62.14,65.98,1,0,1,0
3,0,57.84,65.3,0,1,0,1
5,0,86.53,66.48,1,0,0,1
6,1,69.45,89.83,0,1,0,1
6,2,87.07,63.41,1,0,0,1
4,1,94.83,77.26,0,0,1,1
4,0,75.53,64.58,1,0,0,1
5,2,87.83,75.05,1,1,0,1
1,1,79.78,64.87,0,0,0,1
9,0,83.25,77.56,1,0,0,1
7,2,91.88,82.23,0,0,0,1
5,0,66.57,90.14,1,1,0,1
4,0,79.6,68.86,0,0,0,1
5,0,74.13,94.24,0,0,0,1
4,1,58.22,61.96,0,1,0,1
1,1,69.43,71.03,1,1,0,1
3,0,44.3,90.04,0,0,1,0
7,0,81.14,100.0,1,0,0,1
6,1,74.66,95.16,0,1,1,1
10,2,100.0,77.32,0,0,0,0
4,1,77.9,81.76,1,1,0,1
5,0,79.24,84.04,1,0,0,1
6,0,61.51,76.45,1,1,0,1
6,0,78.85,63.67,1,0,0,1
8,0,69.59,76.73,1,0,0,1
4,1,83.91,70.71,1,1,0,0
3,1,59.82,60.34,0,0,0,1
3,1,72.1,70.68,0,0,0,1
9,1,71.42,78.07,0,0,1,1
7,0,75.26,87.07,0,0,0,0
2,0,84.22,73.8,0,1,0,0
2,1,76.21,74.3,1,0,0,1
4,0,67.67,83.18,0,0,0,1
6,0,47.38,70.33,1,0,0,1
9,0,72.64,79.11,1,0,0,1
11,0,86.75,78.28,0,0,0,1
4,0,62.89,75.01,0,1,0,1
7,2,98.27,66.71,0,1,0,0
7,2,84.72,78.41,1,1,0,1
3,0,76.79,92.49,1,1,0,1
7,0,76.05,77.24,0,1,0,1
5,1,72.24,64.44,1,0,0,1
2,0,59.29,89.58,0,0,0,1
9,0,67.88,82.23,1,0,0,0
6,0,82.97,85.8,1,0,0,1
3,0,61.72,81.23,0,0,1,0
6,1,82.22,62.93,0,0,0,1
3,2,70.74,81.92,0,1,1,1
2,0,53.17,87.25,0,1,1,1
8,0,81.55,70.55,1,0,0,0
4,0,60.53,48.96,0,0,0,1
5,0,66.0,77.59,1,0,0,1
4,2,65.51,73.5,0,0,0,1
3,1,66.07,54.64,1,0,1,0
4,1,73.24,81.91,1,0,0,1
3,1,68.13,79.99,1,0,1,1
11,2,100.0,62.41,0,0,0,1
6,2,83.46,99.36,0,0,0,1
5,0,100.0,89.01,1,0,0,1
5,0,74.24,52.17,0,0,0,1
5,1,57.65,81.36,0,0,0,0
3,0,63.87,82.25,0,1,0,1
6,2,80.74,93.13,1,0,1,0
4,1,66.86,65.89,1,0,0,0
5,2,80.73,86.14,1,1,1,1
3,0,59.57,69.07,0,0,1,1
7,2,87.33,70.79,0,1,0,0
3,0,46.91,59.0,1,1,0,0
6,2,93.44,55.85,0,0,0,1
7,0,58.22,78.13,0,0,0,0
1,1,64.36,69.6,1,0,0,1
6,1,69.67,41.17,0,0,0,0
4,1,76.06,76.12,0,0,1,1
2,1,67.17,87.33,0,0,0,1
2,2,76.52,59.62,0,0,0,1
5,1,86.11,68.67,0,0,1,0
5,1,82.69,81.83,1,0,0,1
3,0,66.36,42.57,0,1,0,0
5,2,84.6,70.51,0,1,0,0
11,1,100.0,84.16,1,0,0,0
2,1,77.04,68.68,1,0,0,0
6,0,69.06,58.24,0,1,1,1
5,1,87.78,62.55,1,0,0,0
3,0,69.91,54.64,1,0,0,0
4,0,58.37,64.08,0,0,0,0
10,1,83.19,89.32,0,0,0,0
1,0,47.28,97.8,0,0,1,1
8,0,53.15,71.06,1,0,0,1
3,1,61.51,81.52,0,1,0,1
5,0,71.23,62.96,0,0,1,0
4,0,69.26,48.75,1,0,0,1
11,0,67.88,95.8,0,1,0,1
3,1,47.21,62.3,1,1,0,1
4,1,87.71,86.17,1,0,0,1
3,1,71.95,76.29,0,1,0,0
3,0,81.56,88.25,1,1,0,1
8,0,90.99,89.65,0,0,0,1
1,0,69.35,77.2,0,1,0,0
5,1,75.59,79.77,0,0,1,1
7,2,80.02,90.56,1,1,0,1
3,0,73.19,69.72,1,0,0,1
7,0,72.4,93.15,0,0,1,0
5,0,64.1,64.33,0,1,0,1
7,1,58.02,72.52,0,0,0,1
5,1,74.17,82.38,1,0,0,1
7,1,89.97,58.44,1,1,1,1
5,2,92.59,95.1,1,0,1,1
4,1,73.53,80.42,1,0,0,0
5,0,61.11,100.0,1,0,1,1
11,0,91.03,100.0,0,0,0,1
7,1,78.85,75.64,0,0,1,0
6,1,73.34,96.1,1,0,0,1
3,1,56.44,81.46,0,1,0,1
0,1,86.04,79.98,0,0,0,0
10,1,92.38,58.56,1,0,0,1
5,2,88.46,60.61,1,1,0,1
5,1,66.37,73.33,0,1,0,1
3,1,71.8,68.42,1,0,0,0
4,0,67.19,76.14,1,1,0,1
2,1,76.82,91.83,0,1,0,0
2,2,87.6,87.9,0,1,0,0
7,0,59.66,63.58,0,1,0,0
3,1,60.25,83.15,0,0,1,0
1,1,73.46,63.72,1,0,0,1
3,0,60.92,58.48,0,0,0,0
7,1,87.15,82.01,0,0,1,1
5,0,66.27,63.48,0,1,0,0
5,2,67.51,65.8,0,0,0,1
4,2,60.41,84.01,0,1,0,1
5,0,74.84,82.86,1,0,0,1
5,0,75.09,70.56,0,0,0,0
3,1,80.7,56.64,1,1,0,1
3,0,69.28,65.03,1,0,0,1
6,0,34.43,90.19,0,0,0,0
6,1,82.03,88.01,1,1,0,1
4,0,53.43,87.77,1,1,0,1
9,0,59.32,74.94,0,1,0,1
6,2,62.12,68.21,0,0,0,1
5,2,59.2,82.7,1,0,1,0
5,1,77.79,90.94,1,0,0,0
4,2,70.69,68.38,0,1,1,1
10,0,64.81,64.4,0,0,1,1
6,0,72.23,56.19,0,0,0,1
2,0,52.94,61.73,0,0,0,0
4,1,82.81,84.59,1,0,0,1
3,2,90.5,70.95,0,0,1,1
2,1,66.82,84.55,0,0,0,1
5,2,93.77,100.0,0,1,0,1
6,1,90.76,78.45,0,0,0,0
5,0,70.85,73.97,0,0,0,1
10,1,100.0,86.58,0,0,0,1
5,0,63.78,65.86,0,0,1,1
5,0,50.45,62.32,1,0,0,1
4,1,57.46,64.08,1,1,1,1
4,1,66.32,59.52,0,1,0,1
